,frase,tweet_anotado,tweet_similar,similaridad
0,no quiero vivir,día sin tomar coca ya no quiero vivir,ya no quiero vivir más,0.6324555320336758
1,no quiero vivir,día sin tomar coca ya no quiero vivir,ya no quiero vivir,0.7071067811865475
2,no quiero vivir,es que no puedo vivir y ya no quiero vivir,ya no quiero vivir más señor diosito,0.6289709020331509
3,no quiero vivir,es que no puedo vivir y ya no quiero vivir,puedo vivir sin ti pero no quiero,0.628970902033151
4,no quiero vivir,es que no puedo vivir y ya no quiero vivir,ya no quiero vivir más,0.7442084075352507
5,no quiero vivir,es que no puedo vivir y ya no quiero vivir,no te dire qué no puedo vivir sin ti porque si puedo si puedo si puedo sencillamente es que no quiero,0.6201736729460424
6,no quiero vivir,es que no puedo vivir y ya no quiero vivir,no era desfibrilador lpm ya no quiero vivir en esta época no entiendo nada,0.6201736729460423
7,no quiero vivir,es que no puedo vivir y ya no quiero vivir,ya no quiero vivir,0.8320502943378438
8,no quiero vivir,es que no puedo vivir y ya no quiero vivir,no me molesta vivir sola es algo que amo pero odio tener que pensar en el almuerzo o la cena no quiero vivir sol,0.6180314431495257
9,no quiero vivir,es que no puedo vivir y ya no quiero vivir,sé que puedo vivir sin ella pero sencillamente es que no quiero hacerlo,0.6445033866354896
10,no quiero vivir,es que no puedo vivir y ya no quiero vivir,ya no quiero vivir en mi casa,0.6289709020331509
11,no quiero vivir,es que no puedo vivir y ya no quiero vivir,que pereza combinar no quiero vivir,0.6793662204867574
12,no quiero vivir,es que no puedo vivir y ya no quiero vivir,no quiero ver que vengas a vivir después,0.6289709020331509
13,no quiero vivir mas,sinceramente no quiero vivir más en esta vida de mierda,situación de mierda que no quiero volver a vivir nunca más en mi vida,0.7016464154456235
14,no quiero vivir mas,sinceramente no quiero vivir más en esta vida de mierda,no quiero vivir más en esta casa,0.7171371656006362
15,no quiero vivir mas,sinceramente no quiero vivir más en esta vida de mierda,no quiero vivir más en esta ciudad de mierda,0.8432740427115679
16,no quiero vivir mas,okay se terminó no quiero vivir más,ojalá no quiero vivir más,0.6761234037828132
17,no soporto mas,no soporto más este dolorrrr,no lo soporto más,0.6708203932499369
18,no soporto mas,no soporto más este dolorrrr,no soporto más este clima del orto,0.6761234037828132
19,no soporto mas,no soporto más este dolorrrr,no soporto más lpm,0.6708203932499369
20,no soporto mas,no soporto más este dolorrrr,no soporto más este dolor de rodilla lpm,0.6324555320336758
21,no soporto mas,no soporto más este dolorrrr,no soporto un día más en este criadero de hampones y trafugas no soporto más este medio de transporte mediocre la,0.6531972647421808
22,no vale la pena seguir viviendo,quiero que mi vida sane sentir que vale la pena seguir viviendo que no voy por el mundo sin rumbo alguno,creo que no vale la pena seguir viviendo,0.6123724356957945
23,no vale la pena seguir viviendo,quiero que mi vida sane sentir que vale la pena seguir viviendo que no voy por el mundo sin rumbo alguno,vale la pena seguir viviendo vale la pena ir horas a sufrir por que me ven como el malo por que son asi es que no en,0.6390096504226939
24,no vale la pena seguir viviendo,ln no vale la pena seguir viviendo si así va a ser la vida,creo que no vale la pena seguir viviendo,0.6390096504226936
25,no vale la pena seguir viviendo,ln no vale la pena seguir viviendo si así va a ser la vida,no se si vale la pena seguir viviendo,0.7302967433402213
26,no vale la pena seguir viviendo,creo que no vale la pena seguir viviendo,quiero que mi vida sane sentir que vale la pena seguir viviendo que no voy por el mundo sin rumbo alguno,0.6123724356957945
27,no vale la pena seguir viviendo,creo que no vale la pena seguir viviendo,ln no vale la pena seguir viviendo si así va a ser la vida,0.6390096504226936
28,no vale la pena seguir viviendo,creo que no vale la pena seguir viviendo,no se si vale la pena seguir viviendo,0.7499999999999998
29,no vale la pena seguir viviendo,creo que no vale la pena seguir viviendo,ayer estuvieron los payasonicos en mi puebloo y yo no estuve presente vale la pena seguir viviendo yo creo que no,0.6495190528383291
30,no vale la pena seguir viviendo,creo que no vale la pena seguir viviendo,vale la pena seguir viviendo vale la pena ir horas a sufrir por que me ven como el malo por que son asi es que no en,0.6708203932499369
31,no vale la pena seguir viviendo,creo que no vale la pena seguir viviendo,vale la pena seguir viviendo vale la pena ir horas a sufrir por que me ven como el malo por que son asi es,0.6154574548966637
32,no vale la pena seguir viviendo,creo que no vale la pena seguir viviendo,la perra vida se ha encargado de hacerme saber que no vale la pena seguir viviendo pero namjoon me hace ver que si,0.6123724356957945
33,no vale la pena seguir viviendo,no se si vale la pena seguir viviendo,ln no vale la pena seguir viviendo si así va a ser la vida,0.7302967433402213
34,no vale la pena seguir viviendo,no se si vale la pena seguir viviendo,creo que no vale la pena seguir viviendo,0.7499999999999998
35,no vale la pena seguir viviendo,no se si vale la pena seguir viviendo,la perra vida se ha encargado de hacerme saber que no vale la pena seguir viviendo pero namjoon me hace ver que si,0.6123724356957945
36,no valgo nada,siento que no valgo una mierda que todos pueden pasarme x encima y ya no puedo hacer nada porque es posta no valgo una mier,a veces siento que no valgo nada,0.6210590034081188
37,no valgo nada,siento que no valgo una mierda que todos pueden pasarme x encima y ya no puedo hacer nada porque es posta no valgo una mier,me siento una basura y que no valgo para nada,0.6197797868009121
38,no valgo nada,siento que no valgo una mierda que todos pueden pasarme x encima y ya no puedo hacer nada porque es posta no valgo una mier,parece que no valgo nada,0.6047431568147635
39,no valgo nada,no sirvo para nada y valgo verga para todo,rt no valgo para nada,0.7071067811865475
40,no valgo nada,no sirvo para nada y valgo verga para todo,no valgo nada para ti,0.7071067811865475
41,no valgo nada,no sirvo para nada y valgo verga para todo,no vales para eso nerea sertal no valgo para nada,0.6761234037828133
42,no valgo nada,no sirvo para nada y valgo verga para todo,hoy no valgo para nada,0.7071067811865475
43,no valgo nada,siento que ya no importa nadaque lo que dije fue al pedo y que no valgo una mierda,que increíble que viva sintiendo que no valgo nada,0.6196773353931867
44,no valgo nada,siento que ya no importa nadaque lo que dije fue al pedo y que no valgo una mierda,siento que no valgo nada siento que todo lo que hago e hice nunca sirvió ni va a servir,0.6000000000000001
45,no valgo nada,siento que ya no importa nadaque lo que dije fue al pedo y que no valgo una mierda,siento que no valgo una mierda que todos pueden pasarme x encima y ya no puedo hacer nada porque es posta no valgo una mier,0.6423172335936727
46,no valgo nada,si no valgo para nada no sé por qué no viene alguien y me sacrifica por lo de aprovechar el espacio que ocupo y tal,por qué siento que no valgo nada,0.6109598099719176
47,no valgo nada,hoy me di cuenta de q no valgo nada,hoy no valgo para nada,0.6324555320336758
48,no valgo nada,es que que onda no valgo nada para nadie al final,no valgo nada para nadie man que feo,0.6864064729836441
49,no valgo nada,es que que onda no valgo nada para nadie al final,que verga sentirse que no valgo nada,0.647150228929434
50,no valgo nada,es que que onda no valgo nada para nadie al final,que increíble que viva sintiendo que no valgo nada,0.6445033866354897
51,no valgo nada,es que que onda no valgo nada para nadie al final,parece que no valgo nada,0.6201736729460423
52,no valgo nada,es que que onda no valgo nada para nadie al final,es que no valgo para nada en fin,0.686406472983644
53,odio mi vida,nooooooo odio mi vida maldita sea,odio mi puta vida,0.6123724356957946
54,odio mi vida,nooooooo odio mi vida maldita sea,odio mucho mi vida,0.6123724356957946
55,odio mi vida,nooooooo odio mi vida maldita sea,odio con mi vida,0.6123724356957946
56,pensando en el suicidio,estoy pensando en el suicidio seriamente e,y mientras yo ya pensando en el suicidio,0.6172133998483676
57,pensando en el suicidio,estoy pensando en el suicidio seriamente e,perdi mi cuadernillo de análisis matemático y estoy pensando en el suicidio,0.6154574548966638
58,pensando en el suicidio,estoy pensando en el suicidio seriamente e,acá pensando seriamente en el suicidio después de no haber guardado un tp con el que estoy hace tres días,0.6092717958449425
59,pensando en el suicidio,estoy pensando en el suicidio seriamente e,yo pensando en paraguay y en el medio tengo el ingreso jajsja suicidio,0.6123724356957946
60,pensando en el suicidio,estoy pensando en el suicidio seriamente e,pensando en el suicidio nuevafotodeperfil,0.7302967433402215
61,pensando en el suicidio,estoy pensando en el suicidio seriamente e,entre broma y broma la verdad si estoy pensando seriamente en el suicidio,0.6546536707079773
62,pensando en el suicidio,estoy pensando en el suicidio seriamente e,nota volví a dejar todo a último momento y estoy pensando seriamente en el suicidio gracias profe boggio,0.6324555320336759
63,pensando en el suicidio,estoy pensando en el suicidio seriamente e,volví a dejar todo a último momento y estoy pensando seriamente en el suicidio gracias profe boggio,0.6546536707079773
64,pensando en el suicidio,estoy pensando en el suicidio seriamente e,yo ya estoy pensando en el suicidio colectivo,0.7216878364870323
65,pensando en el suicidio,entre broma y broma la verdad si estoy pensando seriamente en el suicidio,estoy pensando en el suicidio seriamente e,0.6546536707079773
66,pensando en el suicidio,casi seis semanas en el infierno jamás había pensando tanto en el suicidio,yo pensando en paraguay y en el medio tengo el ingreso jajsja suicidio,0.6063390625908325
67,pensando en el suicidio,casi seis semanas en el infierno jamás había pensando tanto en el suicidio,pensando en el suicidio nuevafotodeperfil,0.6507913734559685
68,pensando en el suicidio,casi seis semanas en el infierno jamás había pensando tanto en el suicidio,el mexiquense promedio pasa el de su vida en la méxicopachuca pensando en el suicidio,0.6068660849090083
69,queriendome matar,y yo estoy acá queriéndome matar,queriéndome matar,0.6324555320336758
70,quiero desaparecer,hoy más que nunca quiero desaparecer,hoy sí quiero desaparecer,0.6123724356957946
71,quiero desaparecer,hoy más que nunca quiero desaparecer,que ansiedad quiero desaparecer,0.6123724356957946
72,quiero desaparecer,aaaahhh solo quiero desaparecer,yo solo quiero desaparecer,0.75
73,quiero desaparecer,aaaahhh solo quiero desaparecer,algunas veces solo quiero desaparecer,0.6708203932499369
74,quiero desaparecer,aaaahhh solo quiero desaparecer,solo quiero desaparecer un rato,0.6708203932499369
75,quiero desaparecer,aaaahhh solo quiero desaparecer,a veces solo quiero desaparecer,0.75
76,quiero desaparecer,aaaahhh solo quiero desaparecer,quiero llorar quiero desaparecer,0.6123724356957946
77,quiero desaparecer,nadie me aviso que me iba a doler tanto dios quiero desaparecer,dios me quiero desaparecer,0.6933752452815365
78,quiero desaparecer,nadie me aviso que me iba a doler tanto dios quiero desaparecer,quiero desaparecer y que nadie me busque,0.6793662204867574
79,quiero desaparecer,quiero desaparecer de todo y todos,quiero desaparecer de todo esto no doy más,0.6324555320336758
80,quiero desaparecer,quiero desaparecer de todo y todos,solo quiero desaparecer de todos por un tiempo,0.6324555320336758
81,quiero desaparecer,quiero desaparecer de todo y todos,que cansada de todo esto estoy quiero desaparecer,0.6324555320336758
82,quiero desaparecer,quiero desaparecer de todo y todos,quiero desaparecer estoy muy harta de todo,0.6761234037828132
83,quiero desaparecer,quiero desaparecer de todo y todos,estoy tan cansada de todo y todos quiero desaparecer,0.7905694150420948
84,quiero desaparecer,ay quiero desaparecer,rt quiero desaparecer,0.6666666666666669
85,quiero desaparecer,ay quiero desaparecer,quiero desaparecer q vergüenza,0.6666666666666669
86,quiero desaparecer,ay quiero desaparecer,ferrari quiero desaparecer,0.6666666666666669
87,quiero desaparecer,ay quiero desaparecer,lucarelli quiero desaparecer,0.6666666666666669
88,quiero desaparecer,ay quiero desaparecer,roma quiero desaparecer,0.6666666666666669
89,quiero desaparecer,ay quiero desaparecer,quiero desaparecer neta,0.6666666666666669
90,quiero desaparecer,ay quiero desaparecer,quiero desaparecer je,0.6666666666666669
91,quiero desaparecer,ay quiero desaparecer,quiero llorar quiero desaparecer,0.7071067811865477
92,quiero desaparecer,ay quiero desaparecer,honestly quiero desaparecer,0.6666666666666669
93,quiero desaparecer,ay quiero desaparecer,cogliolo quiero desaparecer,0.6666666666666669
94,quiero desaparecer,ay quiero desaparecer,quiero desaparecer nomás,0.6666666666666669
95,quiero desaparecer,quiero desaparecer ahora mismo gracias,quiero hacer un click y desaparecer ahora mismo,0.6761234037828132
96,quiero desaparecer,quiero desaparecer ahora mismo gracias,ahora sí quiero desaparecer,0.6708203932499369
97,quiero desaparecer,estoy cansada de sentirme así quiero mandar todo a la mierda y desaparecer,que cansada de todo esto estoy quiero desaparecer,0.6396021490668312
98,quiero desaparecer,estoy cansada de sentirme así quiero mandar todo a la mierda y desaparecer,quiero tirarlo todo a la mierda y desaparecer,0.6154574548966638
99,quiero desaparecer,estoy cansada de sentirme así quiero mandar todo a la mierda y desaparecer,estoy tan cansada de todo y todos quiero desaparecer,0.6396021490668312
100,quiero desaparecer,quiero desaparecer de todos,me quiero desaparecer irme de acá,0.6123724356957946
101,quiero desaparecer,quiero desaparecer de todos,no me quiero levantar nunca de esta cama quiero desaparecer de la faz,0.6063390625908325
102,quiero desaparecer,quiero desaparecer de todos,solo quiero desaparecer de todos por un tiempo,0.7071067811865475
103,quiero desaparecer,quiero desaparecer de todos,de verdad que quiero puro desaparecer,0.6123724356957946
104,quiero desaparecer,quiero desaparecer de todos,solo quiero desaparecer de esta vida de mierda,0.6324555320336759
105,quiero desaparecer,quiero desaparecer de todos,de verdad quiero desaparecer unos días,0.6123724356957946
106,quiero desaparecer,quiero desaparecer de todos,quiero desaparecer de esta casa,0.6708203932499369
107,quiero desaparecer,quiero desaparecer de todos,estoy tan cansada de todo y todos quiero desaparecer,0.7071067811865475
108,quiero desaparecer,quiero desaparecer de todos,que día de mierda quiero desaparecer,0.6123724356957946
109,quiero desaparecer,quiero desaparecer de todos,quiero llorar quiero desaparecer,0.6123724356957946
110,quiero desaparecer,hoy quiero desaparecer,rt quiero desaparecer,0.6666666666666669
111,quiero desaparecer,hoy quiero desaparecer,quiero desaparecer q vergüenza,0.6666666666666669
112,quiero desaparecer,hoy quiero desaparecer,ferrari quiero desaparecer,0.6666666666666669
113,quiero desaparecer,hoy quiero desaparecer,lucarelli quiero desaparecer,0.6666666666666669
114,quiero desaparecer,hoy quiero desaparecer,roma quiero desaparecer,0.6666666666666669
115,quiero desaparecer,hoy quiero desaparecer,quiero desaparecer neta,0.6666666666666669
116,quiero desaparecer,hoy quiero desaparecer,hoy sí quiero desaparecer,0.8660254037844388
117,quiero desaparecer,hoy quiero desaparecer,quiero desaparecer je,0.6666666666666669
118,quiero desaparecer,hoy quiero desaparecer,quiero llorar quiero desaparecer,0.7071067811865477
119,quiero desaparecer,hoy quiero desaparecer,honestly quiero desaparecer,0.6666666666666669
120,quiero desaparecer,hoy quiero desaparecer,literal hoy quiero desaparecer del planeta,0.7071067811865477
121,quiero desaparecer,hoy quiero desaparecer,cogliolo quiero desaparecer,0.6666666666666669
122,quiero desaparecer,hoy quiero desaparecer,quiero desaparecer nomás,0.6666666666666669
123,quiero desaparecer,hoy es uno de esos días en los que lo único que quiero es desaparecer de la tierra,quiero desaparecer de la vida de las personas que me rodean si lo único q hago es daño,0.6087807775281011
124,quiero desaparecer,hoy es uno de esos días en los que lo único que quiero es desaparecer de la tierra,tengo como mensajes en cada grupo de la u y lo único que realmente quiero es desaparecer por lo que queda del cuatrimestre,0.6123724356957947
125,quiero desaparecer,hoy es uno de esos días en los que lo único que quiero es desaparecer de la tierra,hoy es uno de esos días en los que no le encuentro el sentido a nada y solo quiero hacerme bolita y desaparecer,0.6390096504226939
126,quiero desaparecer,hoy es uno de esos días en los que lo único que quiero es desaparecer de la tierra,lo que quiero es desaparecer,0.6390096504226939
127,quiero estar muerto,quiero estar muerto sinceramente no sé que hago acá,yo solo sé que quiero estar muerto,0.6299407883487119
128,quiero estar muerto,yo quiero estar muerto,solo quiero gelato y estar muerto,0.6708203932499369
129,quiero estar muerto,yo quiero estar muerto,yo de mayor quiero ser como nujabes para estar muerto,0.6324555320336759
130,quiero estar muerto,yo quiero estar muerto,io quiero estar muerto,0.75
131,quiero estar muerto,yo quiero estar muerto,delatomo quiero ser pan d muerto para estar rico y muerto,0.6030226891555273
132,quiero estar muerto,yo quiero estar muerto,quiero estar muerto solo eso,0.6708203932499369
133,quiero estar muerto,yo quiero estar muerto,yo solo sé que quiero estar muerto,0.7559289460184544
134,quiero estar muerto,yo quiero estar muerto,si yo seré gwen quiero estar muerto,0.7559289460184544
135,quiero estar muerto,yo quiero estar muerto,sólo quiero dormir hasta estar muerto,0.6123724356957946
136,quiero estar muerto,yo quiero estar muerto,quiero estar muerto,0.8660254037844388
137,quiero morir,definitivamente me quiero morir,además me duele la panza chau me quiero morir,0.6030226891555273
138,quiero morir,definitivamente me quiero morir,me quiero morir lpm jaja,0.6708203932499369
139,quiero morir,definitivamente me quiero morir,hola me quiero morir chao,0.6708203932499369
140,quiero morir,definitivamente me quiero morir,he dormido h y me quiero morir,0.6708203932499369
141,quiero morir,definitivamente me quiero morir,me bajó la regla y me quiero morir,0.6666666666666666
142,quiero morir,definitivamente me quiero morir,tía ojalá me quiero morir,0.6708203932499369
143,quiero morir,definitivamente me quiero morir,m quiero morir,0.7071067811865475
144,quiero morir,definitivamente me quiero morir,me levanté temprano al pedo me quiero morir,0.6324555320336759
145,quiero morir,definitivamente me quiero morir,soy una llorica me quiero morir,0.6123724356957946
146,quiero morir,definitivamente me quiero morir,una cagada me quiero morir,0.6708203932499369
147,quiero morir,definitivamente me quiero morir,dios me quiero morir me necanga guapisimos disoss,0.6324555320336759
148,quiero morir,definitivamente me quiero morir,me quiero morir chicos,0.75
149,quiero morir,definitivamente me quiero morir,milipili me quiero morir,0.75
150,quiero morir,definitivamente me quiero morir,no me quiero morir,0.75
151,quiero morir,definitivamente me quiero morir,rt me quiero morir,0.75
152,quiero morir,definitivamente me quiero morir,ahora si q me quiero morir,0.6708203932499369
153,quiero morir,definitivamente me quiero morir,me hice un pap y me quiero morir,0.6666666666666666
154,quiero morir,definitivamente me quiero morir,tengo la regla y me quiero morir,0.6123724356957946
155,quiero morir,definitivamente me quiero morir,la vdd es q me quiero morir,0.6123724356957946
156,quiero morir,definitivamente me quiero morir,quiero morir,0.7071067811865475
157,quiero morir,definitivamente me quiero morir,me quiero morir un rato,0.6708203932499369
158,quiero morir,definitivamente me quiero morir,ay me quiero morir qq,0.6708203932499369
159,quiero morir,definitivamente me quiero morir,hay veces q me quiero morir,0.6708203932499369
160,quiero morir,definitivamente me quiero morir,pues yo me quiero morir,0.6708203932499369
161,quiero morir,definitivamente me quiero morir,llegaron todos me quiero morir,0.6708203932499369
162,quiero morir,definitivamente me quiero morir,me quiero morir tengo demasiado sueño,0.6123724356957946
163,quiero morir,definitivamente me quiero morir,buenos días me quiero morir,0.6708203932499369
164,quiero morir,definitivamente me quiero morir,odio esta sensación me quiero morir,0.6123724356957946
165,quiero morir,definitivamente me quiero morir,cumple añitos me quiero morir,0.6708203932499369
166,quiero morir,definitivamente me quiero morir,no me soporto me quiero morir odio ser yo,0.6030226891555273
167,quiero morir,me quiero morir y no es en guaro,me quiero morir mi mala suerte no es normal,0.6299407883487119
168,quiero morir,me quiero morir y no es en guaro,no me quiero morir,0.7559289460184544
169,quiero morir,me quiero morir y no es en guaro,la vdd es q me quiero morir,0.6172133998483676
170,quiero morir,me encuentro muy mal y es sábado me quiero morir,me bajó la regla y me quiero morir,0.6030226891555273
171,quiero morir,me encuentro muy mal y es sábado me quiero morir,definitivamente me quiero morir,0.6030226891555273
172,quiero morir,me encuentro muy mal y es sábado me quiero morir,me quiero morir chicos,0.6030226891555273
173,quiero morir,me encuentro muy mal y es sábado me quiero morir,milipili me quiero morir,0.6030226891555273
174,quiero morir,me encuentro muy mal y es sábado me quiero morir,no me quiero morir,0.6030226891555273
175,quiero morir,me encuentro muy mal y es sábado me quiero morir,rt me quiero morir,0.6030226891555273
176,quiero morir,me encuentro muy mal y es sábado me quiero morir,me hice un pap y me quiero morir,0.6030226891555273
177,quiero morir,me encuentro muy mal y es sábado me quiero morir,la vdd es q me quiero morir,0.6154574548966638
178,quiero morir,me encuentro muy mal y es sábado me quiero morir,me siento muy mal quiero morir uj ratito,0.6396021490668312
179,quiero morir,ay me quiero morir,además me duele la panza chau me quiero morir,0.6030226891555273
180,quiero morir,ay me quiero morir,me quiero morir lpm jaja,0.6708203932499369
181,quiero morir,ay me quiero morir,hola me quiero morir chao,0.6708203932499369
182,quiero morir,ay me quiero morir,he dormido h y me quiero morir,0.6708203932499369
183,quiero morir,ay me quiero morir,me bajó la regla y me quiero morir,0.6666666666666666
184,quiero morir,ay me quiero morir,tía ojalá me quiero morir,0.6708203932499369
185,quiero morir,ay me quiero morir,m quiero morir,0.7071067811865475
186,quiero morir,ay me quiero morir,me levanté temprano al pedo me quiero morir,0.6324555320336759
187,quiero morir,ay me quiero morir,soy una llorica me quiero morir,0.6123724356957946
188,quiero morir,ay me quiero morir,una cagada me quiero morir,0.6708203932499369
189,quiero morir,ay me quiero morir,definitivamente me quiero morir,0.75
190,quiero morir,ay me quiero morir,dios me quiero morir me necanga guapisimos disoss,0.6324555320336759
191,quiero morir,ay me quiero morir,me quiero morir chicos,0.75
192,quiero morir,ay me quiero morir,milipili me quiero morir,0.75
193,quiero morir,ay me quiero morir,no me quiero morir,0.75
194,quiero morir,ay me quiero morir,rt me quiero morir,0.75
195,quiero morir,ay me quiero morir,ahora si q me quiero morir,0.6708203932499369
196,quiero morir,ay me quiero morir,me hice un pap y me quiero morir,0.6666666666666666
197,quiero morir,ay me quiero morir,tengo la regla y me quiero morir,0.6123724356957946
198,quiero morir,ay me quiero morir,la vdd es q me quiero morir,0.6123724356957946
199,quiero morir,ay me quiero morir,quiero morir,0.7071067811865475
200,quiero morir,ay me quiero morir,me quiero morir un rato,0.6708203932499369
201,quiero morir,ay me quiero morir,ay me quiero morir qq,0.8944271909999159
202,quiero morir,ay me quiero morir,si me besan esos labios ay así quiero morir,0.6666666666666666
203,quiero morir,ay me quiero morir,hay veces q me quiero morir,0.6708203932499369
204,quiero morir,ay me quiero morir,pues yo me quiero morir,0.6708203932499369
205,quiero morir,ay me quiero morir,llegaron todos me quiero morir,0.6708203932499369
206,quiero morir,ay me quiero morir,me quiero morir tengo demasiado sueño,0.6123724356957946
207,quiero morir,ay me quiero morir,buenos días me quiero morir,0.6708203932499369
208,quiero morir,ay me quiero morir,odio esta sensación me quiero morir,0.6123724356957946
209,quiero morir,ay me quiero morir,cumple añitos me quiero morir,0.6708203932499369
210,quiero morir,ay me quiero morir,no me soporto me quiero morir odio ser yo,0.6030226891555273
211,solo quiero dormir,hoy es uno de esos días en los que solo quiero dormir y no despertarme más,hoy es uno de esos días que no quiero dormir solo,0.8563488385776752
212,solo quiero dormir,hoy es uno de esos días en los que solo quiero dormir y no despertarme más,hoy es de esos días de no me molesten más sólo quiero dormir,0.6666666666666665
213,solo quiero rendirme,solo quiero terminar de rendirme a la vida,solo quiero rendirme,0.6546536707079772
214,suicidarme,dios estoy para suicidarme auxilio,estoy x suicidarme,0.6324555320336758
215,suicidarme,dios estoy para suicidarme auxilio,estoy para suicidarme,0.7745966692414834
216,suicidarme,que ganas de suicidarme pero ni para eso sirvo pq me da miedo,que ganas de suicidarme pero ni para eso sirvo porque me da miedo,0.9230769230769231
217,suicidarme,hola amigos lo siento pero tengo que suicidarmeadios y cuando lo aya hecho digan le a que mi ultima volunta,hola amigos lo siento pero tengo que suicidarmeadios y cuando lo aya hecho digan le a kirlio que mi ultima vol,0.9335638713962128
218,suicidarme,suicidarme,estoy x suicidarme,0.7071067811865475
219,suicidarme,suicidarme,de suicidarme,0.7071067811865475
220,suicidarme,suicidarme,procedo a suicidarme,0.7071067811865475
221,suicidarme,estoy entre matarme o suicidarme,estoy x suicidarme,0.7071067811865475
222,suicidarme,estoy entre matarme o suicidarme,estoy entre a matarme b matarme y suicidarme,0.9449111825230679
